Project,Month,Epic,Team,Epic_Summary,Hours
BIGO,2024-10,BIGO-1,BE Devs,"Project oversight / support",2.00
BIGO,2024-10,BIGO-1,Design,"Project oversight / support",8.25
BIGO,2024-10,BIGO-1,FE Devs,"Project oversight / support",36.00
BIGO,2024-10,BIGO-1,PMs,"Project oversight / support",56.00
BIGO,2024-10,BIGO-1,UX,"Project oversight / support",5.25
BIGO,2024-10,BIGO-144,FE Devs,"Cart",16.50
BIGO,2024-10,BIGO-144,PMs,"Cart",2.00
BIGO,2024-10,BIGO-155,PMs,"Analytics & SEO",0.25
BIGO,2024-10,BIGO-165,PMs,"UAT | PLP",0.50
BIGO,2024-10,BIGO-173,PMs,"UAT | PDP",0.25
BIGO,2024-10,BIGO-193,PMs,"UAT | Global Site Functionality",0.25
BIGO,2024-10,BIGO-194,PMs,"UAT | Homepage Sections",0.25
BIGO,2024-10,BIGO-23,BE Devs,"Migrations and Automation",3.50
BIGO,2024-10,BIGO-25,FE Devs,"3rd Party apps",0.75
BIGO,2024-10,BIGO-25,PMs,"3rd Party apps",2.00
BIGO,2024-10,BIGO-253,PMs,"UAT | Discounts/Promotions",0.50
BIGO,2024-10,BIGO-27,UX,"UX",4.00
BIGO,2024-10,BIGO-38,PMs,"Globals",0.25
BIGO,2024-10,BIGO-40,PMs,"Blog",0.25
BIGO,2024-10,BIGO-41,Design,"Account",0.25
BIGO,2024-10,BIGO-41,FE Devs,"Account",4.75
BIGO,2024-10,BIGO-42,FE Devs,"Pages",0.75
BIGO,2024-10,BIGO-42,PMs,"Pages",0.50
BIGO,2024-10,BIGO-43,BE Devs,"Product Details",2.92
BIGO,2024-10,BIGO-43,FE Devs,"Product Details",18.25
BIGO,2024-10,BIGO-43,PMs,"Product Details",1.50
BIGO,2024-10,BIGO-44,Design,"Components",0.25
BIGO,2024-10,BIGO-44,FE Devs,"Components",3.50
BIGO,2024-10,BIGO-45,FE Devs,"Site Structure",8.00
BIGO,2024-10,BIGO-45,PMs,"Site Structure",1.25
BIGO,2024-10,BIGO-46,FE Devs,"PLP / Search",17.25
BIGO,2024-10,BIGO-46,PMs,"PLP / Search",1.00
BIGO,2024-10,BIGO-47,FE Devs,"Content Sections",12.75
BIGO,2024-10,BIGO-47,PMs,"Content Sections",1.00
BIGO,2024-10,No Epic,Design,"",1.25
BIGO,2024-10,No Epic,FE Devs,"",42.25
BIGO,2024-10,No Epic,PMs,"",7.25
BIGO,2024-11,BIGO-1,FE Devs,"Project oversight / support",19.08
BIGO,2024-11,BIGO-1,PMs,"Project oversight / support",11.50
BIGO,2024-11,BIGO-118,FE Devs,"CI & Deployment",2.00
BIGO,2024-11,BIGO-27,FE Devs,"UX",4.00
BIGO,2024-11,BIGO-45,FE Devs,"Site Structure",5.50
BIGO,2024-11,No Epic,FE Devs,"",46.50
BIGO,2024-11,No Epic,PMs,"",5.75
BIGO,2024-11,No Epic,UX,"",3.50
BIGO,2024-12,BIGO-1,FE Devs,"Project oversight / support",3.50
BIGO,2024-12,BIGO-1,PMs,"Project oversight / support",4.00
BIGO,2024-12,BIGO-1,UX,"Project oversight / support",2.00
BIGO,2024-12,BIGO-118,FE Devs,"CI & Deployment",0.50
BIGO,2024-12,No Epic,Design,"",1.50
BIGO,2024-12,No Epic,FE Devs,"",20.25
BIGO,2024-12,No Epic,PMs,"",3.08
BIGO,2025-01,BIGO-1,FE Devs,"Project oversight / support",9.50
