epic_key,project_key,epic_summary,old_category,new_category,change_type,used_fuzzy_match
COOP-143,COOP,Donations,Uncategorized,UI Dev,new,False
COOP-15,COOP,Components,Uncategorized,UI Dev,new,False
COOP-16,COOP,Content Sections,BE Dev,UI Dev,updated,False
COOP-17,COOP,Header,FE Dev,UI Dev,updated,False
COOP-18,COOP,Footer,Uncategorized,UI Dev,new,False
COOP-19,COOP,Mega Menu,FE Dev,UI Dev,updated,False
COOP-20,COOP,Search,BE Dev,UI Dev,updated,False
COOP-21,COOP,PLP / SRP,Uncategorized,UI Dev,new,False
COOP-22,COOP,PDP Image & Summary,FE Dev,UI Dev,updated,False
COOP-23,COOP,PDP Details,BE Dev,UI Dev,updated,False
COOP-24,COOP,PDP Upsells / Cross Sells,BE Dev,UI Dev,updated,False
COOP-25,COOP,Brands,Uncategorized,UI Dev,new,False
COOP-26,COOP,Cart,BE Dev,UI Dev,updated,False
COOP-27,COOP,Store Locator,BE Dev,UI Dev,updated,False
COOP-38,COOP,Scholarship Integration,BE Dev,Integrations,updated,False
COOP-42,COOP,Emails,Uncategorized,UI Dev,new,False
NO_EPIC,COOP,NO_EPIC,None,Uncategorized,new,False
IRIS-101,IRIS,Integrations,BE Dev,Integrations,updated,True
IRIS-132,IRIS,Navigation,Uncategorized,UI Dev,new,False
IRIS-148,IRIS,Collection Template,Design,UI Dev,updated,False
IRIS-163,IRIS,Collection Landing,FE Dev,UI Dev,updated,False
IRIS-4,IRIS,Configurator,Uncategorized,UI Dev,new,False
IRIS-82,IRIS,Environment Setup,Infrastructure,UI Dev,updated,False
IRIS-84,IRIS,3rd Party Apps,Uncategorized,3rd Party Apps,new,True
IRIS-87,IRIS,Cart,BE Dev,UI Dev,updated,False
IRIS-89,IRIS,Content Sections,BE Dev,UI Dev,updated,False
IRIS-90,IRIS,Footer,Uncategorized,UI Dev,new,False
IRIS-91,IRIS,Globals,Uncategorized,UI Dev,new,False
IRIS-92,IRIS,Header,FE Dev,UI Dev,updated,False
IRIS-94,IRIS,Product Recommendations,BE Dev,UI Dev,updated,False
IRIS-95,IRIS,Product Details,BE Dev,UI Dev,updated,False
IRIS-96,IRIS,Product Listings,BE Dev,UI Dev,updated,False
IRIS-97,IRIS,Search Template,BE Dev,UI Dev,updated,False
NO_EPIC,IRIS,NO_EPIC,None,Uncategorized,new,False
NO_EPIC,SRLK,NO_EPIC,None,Uncategorized,new,False
